,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
1,LE,0.9291969641242555,0.33191348296022805,0.14869742436435793,0.0,2.0,14,10,500
0,DM,0.9443023157503866,0.2948437400584504,0.07767967370769033,0.0,2.0,15,10,500
1,LE,0.9260774150817592,0.32945758950835907,0.18012028505177033,0.0,2.0,15,10,500
0,DM,0.9512616579048747,0.2736201056823499,0.07196241605273024,0.0,2.0,16,10,500
1,LE,0.9313599827083546,0.3331629664522546,0.1687917942466632,0.0,2.0,16,10,500
0,DM,0.9481539600943303,0.27978085055060625,0.07338026800248733,0.0,2.0,17,10,500
1,LE,0.9283744104139474,0.3311718912849643,0.1490186292079761,0.0,2.0,17,10,500
0,DM,0.9575462110767258,0.24600710840190693,0.0790212869867689,0.0,2.0,18,10,500
1,LE,0.9462613054375881,0.28150203631463067,0.14491729174209197,0.0,2.0,18,10,500
0,DM,0.9634065641912657,0.2323828803292588,0.09048794756770139,0.0,2.0,19,10,500
1,LE,0.9500525396435021,0.2708073690215006,0.1210259832059987,0.0,2.0,19,10,500
0,DM,0.9534552226843176,0.2673777533838933,0.07153683906195335,0.0,2.0,20,10,500
1,LE,0.9416574668063029,0.2989011465630259,0.12584785133030535,0.0,2.0,20,10,500
0,DM,0.9590318028733236,0.2450323187574461,0.07287442018038702,0.0,2.0,21,10,500
1,LE,0.9417359972292477,0.2785172320935403,0.16186504912400485,0.0,2.0,21,10,500
0,DM,0.9513314643902282,0.24404439617621768,0.14712222102263026,0.0,2.0,22,10,500
1,LE,0.9260752852880351,0.3091332131266495,0.13220120580560282,0.0,2.0,22,10,500
0,DM,0.9558709976269916,0.25846834043157824,0.07603684371407747,0.0,2.0,23,10,500
1,LE,0.9412489721511256,0.2853260911435078,0.16903862633318673,0.0,2.0,23,10,500
0,DM,0.9600290881725634,0.24800698622256623,0.07860792478655514,0.0,2.0,24,10,500
1,LE,0.9428546696546795,0.2786813414855062,0.1326832914790898,0.0,2.0,24,10,500
0,DM,0.9477528158768855,0.288255698820406,0.07919069158254764,0.0,2.0,25,10,500
1,LE,0.9292084056665687,0.33873940407298203,0.15004822542909382,0.0,2.0,25,10,500
0,DM,0.9540175787943842,0.2620312078015338,0.08001964449517139,0.0,2.0,26,10,500
1,LE,0.9398084580891471,0.30465276676005576,0.14464642482393042,0.0,2.0,26,10,500
0,DM,0.9598694909354072,0.24286668405666617,0.07601486342874546,0.0,2.0,27,10,500
1,LE,0.9475006902031018,0.2711215392964423,0.12692937580821245,0.0,2.0,27,10,500
0,DM,0.9445439640864438,0.2961563253400547,0.07481122895291159,0.0,2.0,28,10,500
1,LE,0.9223893331559312,0.3523458652752333,0.1257196186292584,0.0,2.0,28,10,500
0,DM,0.9528604381329956,0.2748201623871183,0.08107851404653098,0.0,2.0,29,10,500
1,LE,0.9271010811954056,0.3406082105143175,0.12817081380228224,0.0,2.0,29,10,500
0,DM,0.9506861417829091,0.267371215209316,0.08371959750857073,0.0,2.0,30,10,500
1,LE,0.9249045203683375,0.3398468546082739,0.14560758421997597,0.0,2.0,30,10,500
0,DM,0.9494065858542089,0.27640485396933284,0.09274088291894757,0.0,2.0,31,10,500
1,LE,0.9356574026779618,0.314238767159675,0.1506314928696924,0.0,2.0,31,10,500
0,DM,0.9558078550575422,0.2662690380477969,0.077909515019346,0.0,2.0,32,10,500
1,LE,0.9451626420915277,0.2962166368828977,0.1551265123922729,0.0,2.0,32,10,500
0,DM,0.9469403055884386,0.2789972628710648,0.07378638324349211,0.0,2.0,33,10,500
1,LE,0.9309096388176403,0.31293697574125645,0.12546309138267403,0.0,2.0,33,10,500
0,DM,0.95374671842669,0.2696684751957457,0.07779522822283401,0.0,2.0,34,10,500
1,LE,0.9369546093716723,0.3086733672887348,0.15500740988302023,0.0,2.0,34,10,500
0,DM,0.9484398537742822,0.2906848905439316,0.07952324571348825,0.0,2.0,35,10,500
1,LE,0.9342989573150408,0.32758522904522436,0.132338438239694,0.0,2.0,35,10,500
0,DM,0.9530586604718807,0.2777149960309321,0.07945260836259857,0.0,2.0,36,10,500
1,LE,0.9347658076327925,0.3331608681451001,0.12153138811479672,0.0,2.0,36,10,500
0,DM,0.9504630568689126,0.282117902181164,0.08916436511449725,0.0,2.0,37,10,500
1,LE,0.935918794283261,0.3211602230037296,0.11880141479141261,0.0,2.0,37,10,500
0,DM,0.9585727430003751,0.2475306095463775,0.07792938369851986,0.0,2.0,38,10,500
1,LE,0.9445478822974246,0.2802269207150972,0.12105779370805791,0.0,2.0,38,10,500
0,DM,0.9452971698897238,0.2907848838522968,0.07311392972393921,0.0,2.0,39,10,500
1,LE,0.9313761168562685,0.3327600773306468,0.12892513850171725,0.0,2.0,39,10,500
0,DM,0.9532080872811648,0.26455227708021956,0.07702449149090118,0.0,2.0,40,10,500
1,LE,0.9341206425724103,0.3083092686808372,0.13048666136746728,0.0,2.0,40,10,500
0,DM,0.9357687820013462,0.3227561748061279,0.07985260580800906,0.0,2.0,41,10,500
1,LE,0.9200864090942484,0.36255329156042937,0.1686547877639201,0.0,2.0,41,10,500
0,DM,0.942682733980309,0.29382435439548477,0.07281230718169503,0.0,2.0,42,10,500
1,LE,0.928539335624001,0.3355730479900117,0.14842464840621392,0.0,2.0,42,10,500
