,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
0,DM,0.9812716174624159,0.1620728465787369,0.07555957585963842,0.0,1.5,11,10,500
1,LE,0.48551577489933323,0.9030691571405348,0.10491807614551094,0.0,1.5,11,10,500
0,DM,0.9882756463979183,0.12634271007556833,0.07403125083767545,0.0,1.5,12,10,500
1,LE,0.4666264674620321,0.9653286805682535,0.08647412853424762,0.0,1.5,12,10,500
0,DM,0.9819606735035172,0.16304645000537166,0.08204124860625854,0.0,1.5,13,10,500
1,LE,0.4614249401446357,0.8930361387080495,0.09454564996266711,0.0,1.5,13,10,500
0,DM,0.983607572713762,0.1611630090787217,0.07530213599281112,0.0,1.5,14,10,500
1,LE,0.5210495211766445,0.8823730412235263,0.10610134765770556,0.0,1.5,14,10,500
0,DM,0.9777686441072083,0.1827302075169022,0.07362105777909991,0.0,1.5,15,10,500
1,LE,0.49472128267943344,0.9288208505893183,0.0995987344590504,0.0,1.5,15,10,500
0,DM,0.9763399467676553,0.19716782003682165,0.07390305387587581,0.0,1.5,16,10,500
1,LE,0.5040525680337664,0.8807825962530005,0.0984431802997635,0.0,1.5,16,10,500
0,DM,0.9794402045659945,0.17681895580146373,0.08160320031639796,0.0,1.5,17,10,500
1,LE,0.45309609553385066,0.9509650215061579,0.09883640528002781,0.0,1.5,17,10,500
0,DM,0.9812517901375045,0.16066798379895045,0.09405891876462585,0.0,1.5,18,10,500
1,LE,0.4917256683261794,0.9328302630302197,0.12022771356475086,0.0,1.5,18,10,500
0,DM,0.9845392901934499,0.1599709765994295,0.07783341661226689,0.0,1.5,19,10,500
1,LE,0.4446070943257937,0.9238096958699551,0.09829663880908622,0.0,1.5,19,10,500
0,DM,0.9833459391753895,0.16593749669711297,0.07348325921773317,0.0,1.5,20,10,500
1,LE,0.5200162722466548,0.8571056856702943,0.09090646517912114,0.0,1.5,20,10,500
0,DM,0.9862710216385522,0.14085138264182,0.07462536181717816,0.0,1.5,21,10,500
1,LE,0.46726132106584123,0.9151095906066862,0.08546073059176632,0.0,1.5,21,10,500
0,DM,0.9784084098126061,0.17951339586480777,0.07731169229145828,0.0,1.5,22,10,500
